Country,Population,Year,Status,Adult Mortality,infant deaths,Alcohol,Life expectancy ,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure, HIV/AIDS,Diphtheria ,GDP, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling
Afghanistan,33736494,2015,Developing,263,62,0.01,65,71.27962362,65,1154,19.1,83,6,8.16,0.1,65,584.25921,17.2,17.3,0.479,10.1
Afghanistan,327582,2014,Developing,271,64,0.01,59.9,73.52358168,62,492,18.6,86,58,8.18,0.1,62,612.696514,17.5,17.5,0.476,10
Afghanistan,31731688,2013,Developing,268,66,0.01,59.9,73.21924272,64,430,18.1,89,62,8.13,0.1,64,631.744976,17.7,17.7,0.47,9.9
Afghanistan,3696958,2012,Developing,272,69,0.01,59.5,78.1842153,67,2787,17.6,93,67,8.52,0.1,67,669.959,17.9,18,0.463,9.8
Afghanistan,2978599,2011,Developing,275,71,0.01,59.2,7.097108703,68,3013,17.2,97,68,7.87,0.1,68,63.537231,18.2,18.2,0.454,9.5
Afghanistan,2883167,2010,Developing,279,74,0.01,58.8,79.67936736,66,1989,16.7,102,66,9.2,0.1,66,553.32894,18.4,18.4,0.448,9.2
Afghanistan,284331,2009,Developing,281,77,0.01,58.6,56.76221682,63,2861,16.2,106,63,9.42,0.1,63,445.8932979,18.6,18.7,0.434,8.9
Afghanistan,2729431,2008,Developing,287,80,0.03,58.1,25.87392536,64,1599,15.7,110,64,8.33,0.1,64,373.3611163,18.8,18.9,0.433,8.7
Afghanistan,26616792,2007,Developing,295,82,0.02,57.5,10.91015598,63,1141,15.2,113,63,6.73,0.1,63,369.835796,19,19.1,0.415,8.4
Afghanistan,2589345,2006,Developing,295,84,0.03,57.3,17.17151751,64,1990,14.7,116,58,7.43,0.1,58,272.56377,19.2,19.3,0.405,8.1
Afghanistan,257798,2005,Developing,291,85,0.02,57.3,1.388647732,66,1296,14.2,118,58,8.7,0.1,58,25.2941299,19.3,19.5,0.396,7.9
Afghanistan,24118979,2004,Developing,293,87,0.02,57,15.29606643,67,466,13.8,120,5,8.79,0.1,5,219.1413528,19.5,19.7,0.381,6.8
Afghanistan,2364851,2003,Developing,295,87,0.01,56.7,11.08905273,65,798,13.4,122,41,8.82,0.1,41,198.7285436,19.7,19.9,0.373,6.5
Afghanistan,21979923,2002,Developing,3,88,0.01,56.2,16.88735091,64,2486,13,122,36,7.76,0.1,36,187.84595,19.9,2.2,0.341,6.2
Afghanistan,2966463,2001,Developing,316,88,0.01,55.3,10.5747282,63,8762,12.6,122,35,7.8,0.1,33,117.49698,2.1,2.4,0.34,5.9
Afghanistan,293756,2000,Developing,321,88,0.01,54.8,10.42496,62,6532,12.2,122,24,8.2,0.1,24,114.56,2.3,2.5,0.338,5.5
Albania,28873,2015,Developing,74,0,4.6,77.8,364.9752287,99,0,58,0,99,6,0.1,99,3954.22783,1.2,1.3,0.762,14.2
Albania,288914,2014,Developing,8,0,4.51,77.5,428.7490668,98,0,57.2,1,98,5.88,0.1,98,4575.763787,1.2,1.3,0.761,14.2
Albania,289592,2013,Developing,84,0,4.76,77.2,430.8769785,99,0,56.5,1,99,5.66,0.1,99,4414.72314,1.3,1.4,0.759,14.2
Albania,2941,2012,Developing,86,0,5.14,76.9,412.4433563,99,9,55.8,1,99,5.59,0.1,99,4247.61438,1.3,1.4,0.752,14.2
Albania,295195,2011,Developing,88,0,5.37,76.6,437.0621,99,28,55.1,1,99,5.71,0.1,99,4437.17868,1.4,1.5,0.738,13.3
Albania,291321,2010,Developing,91,1,5.28,76.2,41.82275719,99,10,54.3,1,99,5.34,0.1,99,494.358832,1.4,1.5,0.725,12.5
Albania,2927519,2009,Developing,91,1,5.79,76.1,348.0559517,98,0,53.5,1,98,5.79,0.1,98,4114.136545,1.5,1.6,0.721,12.2
Albania,2947314,2008,Developing,1,1,5.61,75.3,36.62206845,99,0,52.6,1,99,5.87,0.1,99,437.539647,1.6,1.6,0.713,12
Albania,29717,2007,Developing,9,1,5.58,75.9,32.24655228,98,22,51.7,1,99,6.1,0.1,98,363.13685,1.6,1.7,0.703,11.6
Albania,2992547,2006,Developing,99,1,5.31,74.2,3.3021542,98,68,5.8,1,97,5.86,0.1,97,35.1293,1.7,1.8,0.696,11.4
Albania,311487,2005,Developing,15,1,5.16,73.5,26.99312143,98,6,49.9,1,97,6.12,0.1,98,279.142931,1.8,1.8,0.685,10.8
Albania,326939,2004,Developing,17,1,4.54,73,221.8428,99,7,48.9,1,98,6.38,0.1,97,2416.588235,1.8,1.9,0.681,10.9
Albania,339616,2003,Developing,18,1,4.29,72.8,14.71928882,97,8,47.9,1,97,6.27,0.1,97,189.681557,1.9,2,0.674,10.7
Albania,3511,2002,Developing,15,1,3.73,73.3,104.5169157,96,16,46.9,1,98,6.3,0.1,98,1453.642777,2,2.1,0.67,10.7
Albania,36173,2001,Developing,14,1,4.25,73.6,96.20557078,96,18,46,1,97,6,0.1,97,1326.97339,2.1,2.1,0.662,10.6
Albania,38927,2000,Developing,11,1,3.66,72.6,91.71154052,96,662,45,1,97,6.26,0.1,97,1175.788981,2.1,2.2,0.656,10.7
Algeria,39871528,2015,Developing,19,21,,75.6,0,95,63,59.5,24,95,,0.1,95,4132.76292,6,5.8,0.743,14.4
Algeria,39113313,2014,Developing,11,21,0.01,75.4,54.2373183,95,0,58.4,24,95,7.21,0.1,95,547.8517,6,5.8,0.741,14.4
Algeria,38338562,2013,Developing,112,21,0.53,75.3,544.4507432,95,25,57.2,24,95,7.12,0.1,95,5471.866766,5.9,5.8,0.737,14.4
Algeria,37565847,2012,Developing,113,21,0.66,75.1,555.9260834,95,18,56.1,24,95,6.14,0.1,95,5564.82566,5.9,5.8,0.732,14.4
Algeria,36819558,2011,Developing,116,21,0.56,74.9,509.0020405,95,112,55,24,95,5.29,0.1,95,5432.2523,5.9,5.8,0.724,14
Algeria,36117637,2010,Developing,119,21,0.45,74.7,430.7175861,95,103,53.9,24,95,5.12,0.1,95,4463.394675,5.9,5.8,0.714,13.6
Algeria,3546576,2009,Developing,123,20,0.5,74.4,352.0636419,94,107,52.8,23,94,5.36,0.1,95,3868.83123,6,5.9,0.705,13.1
Algeria,3486715,2008,Developing,126,20,0.46,74.1,43.08717334,91,217,51.8,23,92,4.2,0.1,93,495.254866,6,5.9,0.697,12.6
Algeria,34376,2007,Developing,129,20,0.44,73.8,320.3239241,9,0,5.8,23,95,3.82,0.1,95,3935.183343,6,5.9,0.69,12.3
Algeria,33777915,2006,Developing,132,20,0.36,73.4,270.2401962,8,944,49.8,23,95,3.36,0.1,95,3464.6179,6.1,6,0.686,12.3
Algeria,33288437,2005,Developing,136,19,0.5,72.9,2.548922758,83,2302,48.9,22,88,3.24,0.1,88,31.122378,6.1,6,0.68,12
Algeria,3283196,2004,Developing,14,19,0.45,72.3,220.393699,81,3289,47.9,23,86,3.54,0.1,86,2598.9823,6.2,6.1,0.673,11.7
Algeria,3243514,2003,Developing,146,20,0.34,71.7,25.0185226,,15374,47,23,87,3.6,0.1,87,294.33556,6.3,6.1,0.663,11.5
Algeria,3199546,2002,Developing,145,20,0.36,71.6,148.5119843,,5862,46.1,23,86,3.73,0.1,86,1774.33673,6.3,6.2,0.653,11.1
Algeria,31592153,2001,Developing,145,20,0.23,71.4,147.9860714,,2686,45.3,24,89,3.84,0.1,89,1732.857979,6.4,6.3,0.644,10.9
Algeria,3118366,2000,Developing,145,21,0.25,71.3,154.4559436,,0,44.4,25,86,3.49,0.1,86,1757.17797,6.5,6.4,0.636,10.7
Angola,2785935,2015,Developing,335,66,,52.4,0,64,118,23.3,98,7,,1.9,64,3695.793748,8.3,8.2,0.531,11.4
Angola,2692466,2014,Developing,348,67,8.33,51.7,23.965612,64,11699,22.7,101,68,3.31,2,64,479.31224,8.5,8.3,0.527,11.4
Angola,2599834,2013,Developing,355,69,8.1,51.1,35.95857279,77,8523,22.1,105,67,4.26,2.3,77,484.616884,8.6,8.5,0.523,11.4
Angola,259615,2012,Developing,358,72,8.24,56,256.1225243,75,4458,21.5,110,75,3.3,2.6,75,4598.249988,8.8,8.6,0.508,10.3
Angola,24218565,2011,Developing,361,75,8.06,51,239.8913921,72,1449,21,115,73,3.38,2.5,71,4299.12889,8.9,8.8,0.495,9.4
Angola,23369131,2010,Developing,365,78,7.8,49.6,191.6537407,77,1190,2.4,121,81,3.39,2.5,77,3529.53482,9.1,9,0.488,9
Angola,22549547,2009,Developing,369,81,7.01,49.1,212.9229325,61,2807,19.8,127,63,4.37,2.5,6,3347.84485,9.3,9.2,0.48,8.5
Angola,2175942,2008,Developing,371,84,7.07,48.7,249.9101958,69,265,19.3,133,65,3.84,2.6,69,3868.578883,9.5,9.4,0.468,8.1
Angola,2997687,2007,Developing,375,87,6.35,48.2,184.8213446,73,1014,18.8,138,75,3.38,2.6,73,2878.837144,9.6,9.6,0.454,7.7
Angola,2262399,2006,Developing,381,90,5.84,47.7,25.08688824,,765,18.2,143,36,4.54,2.5,34,262.415149,9.8,9.7,0.439,7.2
Angola,19552542,2005,Developing,382,92,5.04,47.4,98.19145117,,258,17.7,148,39,4.1,2.6,38,1443.991929,1,9.9,0.426,6.8
Angola,18865716,2004,Developing,386,94,3.53,47.1,8.8667775,,29,17.2,152,4,4.71,2.5,4,141.86844,1.2,1.1,0.415,6.4
Angola,1823369,2003,Developing,388,95,3.49,46.8,35.93349121,,1196,16.8,155,4,4.41,2.4,4,779.468356,1.4,1.3,0.406,5.9
Angola,17572649,2002,Developing,391,96,2.82,46.5,24.037942,,11945,16.3,157,37,3.63,2.3,41,711.181716,1.5,1.5,0.401,5.5
Angola,16983266,2001,Developing,44,97,2.58,45.7,30.35993647,,9046,15.8,159,41,5.38,2.1,38,526.168743,1.7,1.7,0.391,5.1
Angola,1644924,2000,Developing,48,97,1.85,45.3,15.88149254,,2219,15.4,160,3,2.79,2,28,555.2969419,1.9,1.9,0.382,4.6
Antigua and Barbuda,,2015,Developing,13,0,,76.4,0,99,0,47.7,0,86,,0.2,99,13566.9541,3.3,3.3,0.784,13.9
Antigua and Barbuda,,2014,Developing,131,0,8.56,76.2,2422.999774,99,0,47,0,96,5.54,0.2,99,12888.29667,3.3,3.3,0.782,13.9
Antigua and Barbuda,,2013,Developing,133,0,8.58,76.1,1991.430372,99,0,46.4,0,98,5.33,0.2,99,12224.86416,3.3,3.3,0.781,13.9
Antigua and Barbuda,,2012,Developing,134,0,8.18,75.9,2156.229842,98,0,45.7,0,97,5.39,0.2,98,12565.44197,3.3,3.3,0.778,13.8
Antigua and Barbuda,,2011,Developing,136,0,7.84,75.7,1810.875316,99,0,45.1,0,99,5.65,0.1,99,11929.34991,3.3,3.3,0.782,14.1
Antigua and Barbuda,,2010,Developing,138,0,7.84,75.6,1983.956937,98,0,44.4,0,99,5.63,0.1,98,12126.87614,3.3,3.3,0.783,14.1
Antigua and Barbuda,,2009,Developing,14,0,7.82,75.4,149.3587355,98,0,43.8,0,98,4.86,0.1,99,1312.46692,3.4,3.3,0.788,14.2
Antigua and Barbuda,,2008,Developing,142,0,8.27,75.2,180.7762695,98,0,43.2,0,99,4.69,0.1,99,1473.31923,3.4,3.3,0.786,14.4
Antigua and Barbuda,,2007,Developing,144,0,8.64,75,257.9665308,97,0,42.6,0,98,4.27,0.1,99,14252.29452,3.4,3.3,0.781,14.5
Antigua and Barbuda,,2006,Developing,145,0,8.93,74.8,216.3146941,99,0,42,0,99,4.34,0.1,99,12724.39377,3.4,3.4,0.773,14.7
Antigua and Barbuda,,2005,Developing,147,0,8.15,74.6,1455.608186,99,0,41.4,0,98,4.41,0.1,99,11371.93895,3.5,3.4,0,0
Antigua and Barbuda,,2004,Developing,149,0,7.28,74.4,22.86295206,97,0,4.8,0,97,4.21,0.1,97,1352.8374,3.5,3.4,0,0
Antigua and Barbuda,,2003,Developing,151,0,7.16,74.2,1158.065259,99,0,4.1,0,99,4.53,0.1,99,9739.82556,3.5,3.5,0,0
Antigua and Barbuda,,2002,Developing,153,0,7.21,74,927.4075855,99,0,39.5,0,93,4.41,0.1,98,9386.716452,3.6,3.5,0,0
Antigua and Barbuda,,2001,Developing,154,0,7.51,73.8,163.7676978,96,0,38.9,0,99,4.48,0.1,97,9358.154162,3.6,3.5,0,0
Antigua and Barbuda,,2000,Developing,156,0,7.27,73.6,1127.74347,,0,38.2,0,96,4.13,0.1,95,9875.161736,3.7,3.6,0,0
Argentina,43417765,2015,Developing,116,8,,76.3,0,94,0,62.8,9,93,,0.1,94,13467.1236,1,0.9,0.826,17.3
Argentina,42981515,2014,Developing,118,8,7.93,76.2,847.3717463,94,1,62.2,9,92,4.79,0.1,94,12245.25645,1,0.9,0.825,17.3
Argentina,42539925,2013,Developing,119,8,8.28,76,1001.796332,94,0,61.6,10,99,4.99,0.1,94,12976.63642,1,0.9,0.823,17.3
Argentina,4296739,2012,Developing,12,9,8.35,75.9,1133.558003,91,2,61,10,99,5.2,0.1,91,12969.7712,1,0.9,0.822,17.2
Argentina,41656879,2011,Developing,12,9,8.11,75.7,1504.329462,91,3,6.4,10,93,5.89,0.1,91,12726.9836,1,0.9,0.816,17.1
Argentina,41223889,2010,Developing,121,10,8.15,75.5,187.610955,94,17,59.8,11,95,6.55,0.1,94,1276.265,1,0.9,0.802,16.8
Argentina,479947,2009,Developing,126,10,8.33,75.6,1398.042623,94,3,59.2,11,97,7.63,0.1,94,8161.36966,1,0.9,0.794,16.5
Argentina,4382389,2008,Developing,126,10,8.41,75.4,1413.73543,9,0,58.6,11,94,6.66,0.1,93,8953.359275,1,0.9,0.792,16.3
Argentina,3997224,2007,Developing,129,10,8.16,74.8,1105.659031,85,0,58,12,92,6.49,0.1,91,7193.61764,1.1,0.9,0.788,16.3
Argentina,3955889,2006,Developing,127,11,7.75,75.2,961.1774676,84,0,57.5,12,92,6.68,0.1,91,5878.76127,1.1,0.9,0.782,16.1
Argentina,39145488,2005,Developing,127,11,7.53,74.9,96.16653429,88,0,56.9,12,95,6.85,0.1,98,576.883829,1.1,1,0.78,16.3
Argentina,38728696,2004,Developing,13,11,7.63,74.7,719.3663797,81,0,56.3,12,91,6.84,0.1,98,4251.574348,1.1,1,0.775,16.3
Argentina,3839379,2003,Developing,137,11,7.62,74.1,57.58467352,73,0,55.7,13,95,8.22,0.1,96,333.4376,1.2,1,0.77,16.4
Argentina,3788937,2002,Developing,138,12,7.81,74.1,470.1869145,66,0,55.1,13,94,8.31,0.1,93,2579.193168,1.2,1,0.776,16.3
Argentina,3747159,2001,Developing,138,12,7.76,74,123.0128671,,0,54.6,13,85,9.38,0.1,83,717.694674,1.2,1.1,0.771,15.6
Argentina,3757452,2000,Developing,137,12,7.68,74.1,1349.025282,,6,54,14,88,9.21,0.1,83,7669.273916,1.2,1.1,0.764,15
Armenia,291695,2015,Developing,118,1,,74.8,0,94,33,54.9,1,96,,0.1,94,369.654776,2.1,2.2,0.741,12.7
Armenia,29622,2014,Developing,12,1,3.91,74.6,295.6087143,93,13,54.1,1,95,4.48,0.1,93,3994.712355,2.1,2.1,0.739,12.7
Armenia,289359,2013,Developing,123,1,3.79,74.4,279.4290812,95,10,53.3,1,96,4.55,0.1,95,3843.591213,2.1,2.1,0.736,12.7
Armenia,2881922,2012,Developing,121,1,3.89,74.4,274.1526986,95,0,52.6,1,96,4.48,0.1,95,3684.8481,2,2.1,0.732,12.7
Armenia,2875581,2011,Developing,128,1,4.09,73.9,260.9963826,95,0,51.9,1,96,3.71,0.1,95,3526.978143,2,2.1,0.729,12.7
Armenia,2877311,2010,Developing,132,1,4.23,73.5,224.3212014,94,2,51.2,1,96,4.56,0.1,94,3218.381655,2,2.1,0.72,12.3
Armenia,2888584,2009,Developing,137,1,3.96,73.3,201.1855461,93,0,5.7,1,94,4.55,0.1,93,2993.832531,2,2.1,0.725,11.9
Armenia,29822,2008,Developing,14,1,3.96,73.2,2.8888979,89,0,5.1,1,91,3.8,0.1,89,41.26997,2,2.1,0.721,12.3
Armenia,293356,2007,Developing,132,1,3.99,73.5,44.57219966,85,1,49.7,1,9,4.31,0.1,88,3138.8873,2,2.1,0.707,11.7
Armenia,29585,2006,Developing,141,1,4.01,72.9,244.5352767,78,137,49.2,1,87,4.58,0.1,87,2158.299,2,2.1,0.692,11.2
Armenia,2981259,2005,Developing,137,1,4.25,73,20.21822828,91,2281,48.8,1,92,5.25,0.1,9,1643.758397,2,2.1,0.679,10.9
Armenia,3612,2004,Developing,132,1,3.81,73,97.74087744,91,1783,48.4,1,93,5.5,0.1,91,1191.96192,2,2.1,0.668,10.9
Armenia,31786,2003,Developing,134,1,3.03,72.7,7.341493148,93,4,48.1,1,96,5.56,0.1,94,93.1661567,2,2.1,0.657,10.8
Armenia,333897,2002,Developing,134,1,2.86,72.6,57.17810403,91,40,47.8,1,96,5.4,0.1,94,783.261699,2.1,2.1,0.645,10.8
Armenia,35655,2001,Developing,141,1,2.86,72.6,53.19373012,69,69,47.4,1,97,5.94,0.1,94,694.435119,2.1,2.1,0.644,11.1
Armenia,369588,2000,Developing,142,1,2.9,72,32.75626853,55,15,47.1,1,96,6.25,0.1,93,622.7427477,2.1,2.2,0.639,11.2
Australia,23789338,2015,Developed,59,1,,82.8,0,93,74,66.6,1,93,,0.1,93,56554.3876,0.6,0.6,0.937,20.4
Australia,2346694,2014,Developed,6,1,9.71,82.7,10769.36305,91,340,66.1,1,92,9.42,0.1,92,62214.6912,0.6,0.6,0.936,20.4
Australia,23117353,2013,Developed,61,1,9.87,82.5,11734.85381,91,158,65.5,1,91,9.36,0.1,91,67792.3386,0.6,0.6,0.933,20.3
